Id,Title,Grook,Author
1,PROBLEMS,"Problems worthy
   of attack
prove their worth
   by hitting back.","Piet Hein"
2,"A MOMENT'S THOUGHT", "As eternity
is reckoned
there's a lifetime
in a second.","Piet Hein"
3,THE ROAD TO WISDOM,"The road to wisdom? -- Well, it's plain
and simple to express:
           Err
           and err
           and err again
           but less
           and less
           and less.","Piet Hein"
4,"WISDOM IS","Wisdom is
the booby prize
given when you've been
unwise.","Piet Hein"
